"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"245","treed_5440",5440,TRUE,0.0046703,"snapKrig",21632,128,169,0.0183768,2.6913779,2.7097547
"246","treed_5440",5440,TRUE,0.0046703,"snapKrig",86528,256,338,0.0337431,7.6769735,7.7107166
"247","treed_5440",5440,TRUE,0.0046703,"snapKrig",344925,511,675,0.1142647,30.2180229,30.3322876
"248","treed_5440",5440,TRUE,0.0046703,"snapKrig",1377329,1021,1349,0.4226492,158.3572035,158.7798527
"249","treed_5440",5440,TRUE,0.0046703,"snapKrig",5504577,2041,2697,1.8909474,NA,NA
"250","treed_5440",5440,TRUE,0.0046703,"snapKrig",22008833,4081,5393,7.7370863,NA,NA
"251","treed_5440",5440,TRUE,22.4397392,"fields",88,8,11,0.0044452,0.1489279,0.1533731
"252","treed_5440",5440,TRUE,22.4397392,"fields",352,16,22,0.017007,0.5495506,0.5665576
"253","treed_5440",5440,TRUE,22.4397392,"fields",1376,32,43,0.0659367,2.1503537,2.2162904
"254","treed_5440",5440,TRUE,22.4397392,"fields",5440,64,85,0.2595088,8.5191016,8.7786104
"255","treed_5440",5440,TRUE,22.4397392,"fields",21632,128,169,1.0608823,33.6254894,34.6863717
"256","treed_5440",5440,TRUE,22.4397392,"fields",86528,256,338,4.0831268,133.9019125,137.9850393
"257","treed_5440",5440,TRUE,22.4397392,"fields",344925,511,675,16.2117118,NA,NA
"258","treed_5440",5440,TRUE,22.4397392,"fields",1377329,1021,1349,64.7774176,NA,NA
"259","treed_5440",5440,TRUE,22.4397392,"fields",5504577,2041,2697,NA,NA,NA
"260","treed_5440",5440,TRUE,22.4397392,"fields",22008833,4081,5393,NA,NA,NA
"261","treed_5440",5440,TRUE,NA,"geoR",88,8,11,NA,NA,NA
"262","treed_5440",5440,TRUE,NA,"geoR",352,16,22,NA,NA,NA
"263","treed_5440",5440,TRUE,NA,"geoR",1376,32,43,NA,NA,NA
"264","treed_5440",5440,TRUE,NA,"geoR",5440,64,85,NA,NA,NA
"265","treed_5440",5440,TRUE,NA,"geoR",21632,128,169,NA,NA,NA
"266","treed_5440",5440,TRUE,NA,"geoR",86528,256,338,NA,NA,NA
"267","treed_5440",5440,TRUE,NA,"geoR",344925,511,675,NA,NA,NA
"268","treed_5440",5440,TRUE,NA,"geoR",1377329,1021,1349,NA,NA,NA
"269","treed_5440",5440,TRUE,NA,"geoR",5504577,2041,2697,NA,NA,NA
"270","treed_5440",5440,TRUE,NA,"geoR",22008833,4081,5393,NA,NA,NA
"271","treed_5440",5440,TRUE,NA,"gstat",88,8,11,NA,NA,NA
"272","treed_5440",5440,TRUE,NA,"gstat",352,16,22,NA,NA,NA
"273","treed_5440",5440,TRUE,NA,"gstat",1376,32,43,NA,NA,NA
"274","treed_5440",5440,TRUE,NA,"gstat",5440,64,85,NA,NA,NA
"275","treed_5440",5440,TRUE,NA,"gstat",21632,128,169,NA,NA,NA
"276","treed_5440",5440,TRUE,NA,"gstat",86528,256,338,NA,NA,NA
"277","treed_5440",5440,TRUE,NA,"gstat",344925,511,675,NA,NA,NA
"278","treed_5440",5440,TRUE,NA,"gstat",1377329,1021,1349,NA,NA,NA
"279","treed_5440",5440,TRUE,NA,"gstat",5504577,2041,2697,NA,NA,NA
